replicate_num,horm_conc,Position_n,Moth_ID,Cell Cycle Stage,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime,RoiSet_filename,roi_name,roi_intersection_over_union,mitograph_volume_from_voxels,mitograph_volume_from_length_um3,mitograph_total_length_um,mitograph_foldername,mitograph_filename
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_1,1,G1,0,ASY15-1_0nM,2020/02/18 12:32:30.852,0.0,5888.0,26.628848000000005,0.0,304481.3300108923,92.60566058010924,0.0,G1,-1,14,9951,15.751406803125,0,1,mother,0,0,0.0473409020397066,0.1163705380420083,175.38875323714387,318.78039215686283,2021/11/18 11:56:40.240,2020-02-18_ASY15-1_0nM.zip,0003-0170-0102,0.9177931468091794,4.49349,1.46461,20.71993,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-01_000.mitograph
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_2,1,S,0,ASY15-1_0nM-02,2020/02/18 12:34:29.664,0.0,6864.0,31.042869000000003,0.1309935739001483,335126.46875017777,101.92614442198918,0.0487418765105919,S,-1,12,13457,21.301043246875,0,2,mother,2,0,0.0668070240381666,0.1302464463466417,,681.8509803921568,2021/11/18 11:56:45.709,2020-02-18_ASY15-1_0nM.zip,0006-0180-0130,0.8923556942277691,5.64096,2.04817,28.97574,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-02_001.mitograph
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_3,1,G1,0,ASY15-1_0nM-03,2020/02/18 12:35:59.595,0.0,6191.0,27.9991844375,0.0,326965.84045578627,99.44415193357015,0.0,G1,-1,14,13878,21.96744283125,0,1,mother,0,0,0.0343508883102933,0.102532193888111,153.33702590525263,236.90980392156848,2021/11/18 11:56:49.956,2020-02-18_ASY15-1_0nM.zip,0009-0176-0133,0.8865654540246348,5.89701,2.33075,32.97332,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-03_002.mitograph
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_4,4,S,0,ASY15-1_0nM-04,2020/02/18 12:37:02.889,0.0,6752.0,30.536342000000005,0.0811849479583667,326343.86789007985,99.25498374940636,0.0215813559500518,S,-1,11,12383,19.601012003125,0,3,mother,2,0,0.047064655109335,0.121860667370709,,322.1490196078432,2021/11/18 11:56:54.465,2020-02-18_ASY15-1_0nM.zip,0012-0180-0130,0.8981061616431049,5.11148,2.05573,29.08268,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-04_003.mitograph
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_5,2,S,0,ASY15-1_0nM-05,2020/02/18 12:38:27.142,0.0,10942.0,49.48587887500001,0.7708367049684415,571785.0379025438,173.9040326147211,0.6342463041380391,S,-1,20,23928,37.875556425,0,2,mother,1,0,0.0321957905919827,0.1098715913313431,269.31652354372403,311.8235294117645,2021/11/18 11:57:00.137,2020-02-18_ASY15-1_0nM.zip,0015-0195-0164,0.8464871556793563,9.00278,4.06066,57.4466,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-05_004.mitograph
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_6,4,S,0,ASY15-1_0nM-06,2020/02/18 12:39:38.794,0.0,12435.0,56.2380646875,0.5181296544988402,687045.828112578,208.9597176907281,0.3748473661853513,S,-1,30,26703,42.268095253125,0,2,mother,2,0,0.0427020909080677,0.101202294973977,457.68757548837175,848.6078431372548,2021/11/18 11:57:07.582,2020-02-18_ASY15-1_0nM.zip,0018-0197-0180,0.8438517915309446,4.97713,1.85657,26.26509,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-06_005.mitograph
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_7,2,S,0,ASY15-1_0nM-07,2020/02/18 12:40:52.959,0.0,10179.0,46.0351636875,0.7325957446808511,507902.596506538,154.474678162231,0.619358273370168,S,-1,19,20649,32.685237571875,0,2,mother,1,0,0.0266552681013471,0.0946100359552613,116.44602898890147,18.0745098039216,2021/11/18 11:57:13.483,2020-02-18_ASY15-1_0nM.zip,0021-0184-0129,0.8737339055793991,8.33895,3.55343,50.27073,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-07_006.mitograph
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_8,4,S,0,ASY15-1_0nM-08,2020/02/18 12:41:59.718,0.0,7458.0,33.729271125,0.2634253769269862,350461.237894172,106.59009681070296,0.1484577806248473,S,-1,22,17863,28.275286878125,0,3,mother,2,0,0.0371305328318954,0.1005025405451287,239.4062888220982,289.0431372549019,2021/11/18 11:57:19.066,2020-02-18_ASY15-1_0nM.zip,0024-0168-0131,0.8591176131782052,8.0181,3.1768,44.94253,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-08_007.mitograph
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_9,3,S,0,ASY15-1_0nM-09,2020/02/18 12:43:03.338,0.0,10729.0,48.5225730625,0.7138977635782747,535656.9455889656,162.91595050775445,0.6317589131934084,S,-1,19,31155,49.315152140625,0,3,mother,2,0,0.0210065007325917,0.0889603122403161,165.75590950010053,-60.62352941176471,2021/11/18 11:57:24.994,2020-02-18_ASY15-1_0nM.zip,0027-0178-0160,0.8714529636555818,11.29615,5.14445,72.77902,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-09_008.mitograph
2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_10,1,S,0,ASY15-1_0nM-10,2020/02/18 12:44:09.856,0.0,7788.0,35.221716750000006,0.1362707907791071,406211.9954107016,123.5462619965126,0.0497714593234981,S,-1,17,15798,25.00660483125,0,3,mother,2,0,0.0305201074328411,0.107036989401164,149.9552400478159,196.4705882352941,2021/11/18 11:57:30.116,2020-02-18_ASY15-1_0nM.zip,0030-0173-0170,0.9227204408817636,6.61932,2.92347,41.35868,200218_SCD_0nM_cells_new,C2-ASY15-1_0nM-10_009.mitograph
