replicate_num,horm_conc,Cell Cycle Stage,Moth_ID,Position_n,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,G1,1,Position_20,0,ASY13-1_60nM-20,2020/05/05 10:15:54.236,0.0,4938.0,22.332413625,0.0,236010.6418737276,71.78082608175114,0.0,G1,-1,7,11311,17.904146553125,0,1,mother,0,0,0.1132666659005893,0.1764954239750328,165.39999999999995,1022.607843137255,2021/11/18 13:55:18.718
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,G1,1,Position_38,0,ASY13-1_60nM-38,2020/05/05 10:33:46.311,0.0,5757.0,26.0363923125,0.0,305862.0720626032,93.02560268225668,0.0,G1,-1,16,13338,21.11267851875,0,1,mother,0,0,0.0713537098895693,0.2226655110232811,268.2690264061829,733.9215686274512,2021/11/18 13:57:17.349
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,G1,1,Position_41,0,ASY13-1_60nM-41,2020/05/05 10:36:54.044,0.0,6189.0,27.9901393125,0.0,361826.75003611017,110.046830133885,0.0,G1,-1,19,18581,29.411806834375,0,1,mother,0,0,0.0490889709798192,0.1787117019829467,244.12384474036435,567.764705882353,2021/11/18 13:57:35.539
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,G1,2,Position_32,0,ASY13-1_60nM-32,2020/05/05 10:27:52.485,0.0,6211.0,28.089635687500003,0.0,321417.12343530817,97.75655222085514,0.0,G1,-1,12,13285,21.028784984375,0,2,mother,0,0,0.0241923956821692,0.1591902386193591,104.47531129240018,52.29803921568626,2021/11/18 13:56:43.206
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,S,1,Position_10,0,ASY13-1_60nM-10,2020/05/05 10:05:15.669,0.0,8145.0,36.8362715625,0.5502474305291206,380427.568787272,115.70412645389452,0.393321366594464,S,-1,14,16789,26.575255634375,0,3,mother,2,0,0.0506723368121139,0.1905037332914859,216.8665664023457,560.8117647058822,2021/11/18 13:54:22.379
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,S,1,Position_12,0,ASY13-1_60nM-12,2020/05/05 10:07:20.831,0.0,10421.0,47.1296238125,0.3769820295983087,573303.2912471463,174.36579772163205,0.2292687049866066,S,-1,18,20315,32.156550015625,0,5,mother,2,0,0.068142347300623,0.1930480622097306,349.26384175925114,1072.1999999999998,2021/11/18 13:54:32.777
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,S,1,Position_15,0,ASY13-1_60nM-15,2020/05/05 10:10:19.955,0.0,9200.0,41.60757500000001,0.9508057675996608,446097.4911839471,135.67712953940736,0.8444175708245819,S,-1,23,22402,35.46005579375,0,2,mother,2,0,0.0448341524426401,0.1786425743406,320.29185464122776,836.2039215686275,2021/11/18 13:54:51.747
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,S,1,Position_19,0,ASY13-1_60nM-19,2020/05/05 10:14:51.197,0.0,8460.0,38.26087875,0.5977337110481586,400844.87556399504,121.9138936710094,0.4603214999855189,S,-1,15,20238,32.03466695625,0,5,mother,2,0,0.0737710502662584,0.1888059375519375,294.3533104516654,956.4117647058822,2021/11/18 13:55:14.897
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,S,1,Position_21,0,ASY13-1_60nM-21,2020/05/05 10:16:43.854,0.0,9776.0,44.212571,0.6323259308732676,461809.25847203337,140.45574302136416,0.5106207787467538,S,-1,24,23999,37.987942103125,0,2,mother,2,0,0.0399326109293333,0.2094773916580252,368.5856049735543,591.9411764705883,2021/11/18 13:55:28.208
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,S,1,Position_23,0,ASY13-1_60nM-23,2020/05/05 10:18:37.839,0.0,9666.0,43.715089125,0.5620555914673562,464124.06704913377,141.15977429116717,0.4203433604331428,S,-1,23,24550,38.86011828125,0,4,mother,2,0,0.0460103097377664,0.1483002986629747,303.0571957273958,490.3254901960785,2021/11/18 13:55:41.502
2020-05-05_SCD_Haploid_2,2020-05-05_ASY13_SCD_60nM,S,1,Position_24,0,ASY13-1_60nM-24,2020/05/05 10:19:38.274,0.0,8227.0,37.207121687500006,0.5860805860805861,388930.3075322888,118.29016921124258,0.4471427598135987,S,-1,12,16617,26.302997371875,0,2,mother,2,0,0.1065862796252046,0.1826903336771149,288.0274509803922,1605.078431372549,2021/11/18 13:55:46.687
